Date,location,actual_volume,best_forecast,selected_model,forecast_error,absolute_error
2026-03-22,7,254.0,201.1804962158203,XGBoost,-52.81950378417969,52.81950378417969
2026-03-23,7,4683.0,4546.43896484375,XGBoost,-136.56103515625,136.56103515625
2026-03-24,7,5214.0,4802.05224609375,XGBoost,-411.94775390625,411.94775390625
2026-03-25,7,4332.0,4633.77978515625,XGBoost,301.77978515625,301.77978515625
2026-03-26,7,4333.0,4392.2841796875,XGBoost,59.2841796875,59.2841796875
2026-03-27,7,3959.0,4280.54638671875,XGBoost,321.54638671875,321.54638671875
2026-03-28,7,187.0,253.66412353515625,XGBoost,66.66412353515625,66.66412353515625
2026-03-29,7,222.0,208.21029663085938,XGBoost,-13.789703369140625,13.789703369140625
2026-03-30,7,4859.0,4600.21533203125,XGBoost,-258.78466796875,258.78466796875
2026-03-31,7,4979.0,4896.82666015625,XGBoost,-82.17333984375,82.17333984375
2026-04-01,7,4494.0,4883.35107421875,XGBoost,389.35107421875,389.35107421875
2026-04-02,7,4415.0,4685.48095703125,XGBoost,270.48095703125,270.48095703125
2026-04-03,7,0.0,289.90618896484375,XGBoost,289.90618896484375,289.90618896484375
2026-04-04,7,212.0,259.69573974609375,XGBoost,47.69573974609375,47.69573974609375
2026-03-08,8,315.0,250.89952087402344,XGBoost,-64.10047912597656,64.10047912597656
2026-03-09,8,7023.0,7351.7822265625,XGBoost,328.7822265625,328.7822265625
2026-03-10,8,8113.0,7653.5283203125,XGBoost,-459.4716796875,459.4716796875
2026-03-11,8,6915.0,7037.40771484375,XGBoost,122.40771484375,122.40771484375
2026-03-12,8,6474.0,6760.54345703125,XGBoost,286.54345703125,286.54345703125
2026-03-13,8,6043.0,6339.7177734375,XGBoost,296.7177734375,296.7177734375
2026-03-14,8,234.0,497.54388427734375,XGBoost,263.54388427734375,263.54388427734375
2026-03-15,8,327.0,252.69174194335938,XGBoost,-74.30825805664062,74.30825805664062
2026-03-16,8,6849.0,7367.1103515625,XGBoost,518.1103515625,518.1103515625
2026-03-17,8,7695.0,7824.99365234375,XGBoost,129.99365234375,129.99365234375
2026-03-18,8,6708.0,6985.64501953125,XGBoost,277.64501953125,277.64501953125
2026-03-19,8,6288.0,6736.9609375,XGBoost,448.9609375,448.9609375
2026-03-20,8,6214.0,6325.77294921875,XGBoost,111.77294921875,111.77294921875
2026-03-21,8,368.0,535.0014038085938,XGBoost,167.00140380859375,167.00140380859375
2026-03-22,8,306.0,219.66421508789062,XGBoost,-86.33578491210938,86.33578491210938
2026-03-23,8,7398.0,7198.27392578125,XGBoost,-199.72607421875,199.72607421875
2026-03-24,8,8303.0,7635.09619140625,XGBoost,-667.90380859375,667.90380859375
2026-03-25,8,7070.0,6858.0361328125,XGBoost,-211.9638671875,211.9638671875
2026-03-26,8,6692.0,6615.7333984375,XGBoost,-76.2666015625,76.2666015625
2026-03-27,8,6936.0,6323.86767578125,XGBoost,-612.13232421875,612.13232421875
2026-03-28,8,355.0,574.6189575195312,XGBoost,219.61895751953125,219.61895751953125
2026-03-29,8,291.0,221.03048706054688,XGBoost,-69.96951293945312,69.96951293945312
2026-03-30,8,6989.0,7277.689453125,XGBoost,288.689453125,288.689453125
2026-03-31,8,8632.0,7609.41259765625,XGBoost,-1022.58740234375,1022.58740234375
2026-04-01,8,7424.0,6825.828125,XGBoost,-598.171875,598.171875
2026-04-02,8,6776.0,6589.06201171875,XGBoost,-186.93798828125,186.93798828125
2026-04-03,8,0.0,582.790771484375,XGBoost,582.790771484375,582.790771484375
2026-04-04,8,474.0,513.9474487304688,XGBoost,39.94744873046875,39.94744873046875
